current_season_start	current_season_end	other_season_start	other_season_end	distance_map	current_strain	mean_distance
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK4803/1997	4.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK4622/1997	3.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK12626/1997	3.37
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK12160/1997	6.18
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12942/1997	10.08
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12904/1997	10.08
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/13002/1997	10.08
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12990/1997	10.08
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12974/1997	11.39
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12550/1997	10.39
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12766/1997	10.39
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12106/1997	11.23
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/12132/1997	11.23
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/566/1997	14.05
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/585/1997	9.63
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/558/1997	8.51
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/597/1997	7.77
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Siena/1/1997	8.90
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK4245/1997	7.93
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/569/1997	7.56
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12726/1997	7.57
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK4391/1997	7.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK12566/1997	7.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK4529/1997	7.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20010/1997	7.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK4542/1997	8.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK12794/1997	7.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK12563/1997	7.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK4803/1997	8.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK4622/1997	7.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK12626/1997	7.58
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK12160/1997	8.05
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12942/1997	10.21
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12904/1997	10.21
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/13002/1997	10.21
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12990/1997	10.21
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12974/1997	11.38
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12550/1997	10.39
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12766/1997	10.39
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12106/1997	11.40
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/12132/1997	11.40
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20523/1997	4.47
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK41507/1997	4.85
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK41459/1997	4.85
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK41114/1997	5.83
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/517/1998	5.87
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/539/1998	5.83
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10554/1998	4.76
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10954/1998	4.80
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/520/1998	4.89
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/546/1998	4.22
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/522/1997	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/548/1998	4.89
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/505/1997	4.78
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/506/1998	4.49
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/528/1998	4.87
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/532/1998	4.87
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Auckland/10/1997	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/529/1998	4.89
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Sydney/5/1997	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Sydney/5/1997-egg	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/533/1998	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/540/1998	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/527/1998	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Netherlands/300/1997	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/545/1997	4.87
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/550/1998	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/535/1998	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/501/1997	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/536/1998	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/538/1998	3.91
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20213/1997	5.45
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Taiwan/317/1998	8.26
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/13241/1997	4.13
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Netherlands/5/1998	6.04
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/541/1998	5.07
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/521/1998	4.09
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/518/1998	4.09
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20217/1997	4.30
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20199/1997	3.37
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK22185/1997	3.37
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK22048/1997	3.37
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20236/1997	4.26
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20731/1997	3.37
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20992/1997	4.83
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK22013/1997	3.87
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Taiwan/1335/1997	3.37
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK20320/1997	4.35
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK22736/1997	3.37
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10632/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/523/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/526/1997	4.67
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/534/1998	5.60
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/507/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/542/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/543/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/519/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/514/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/509/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/544/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/530/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/512/1998	4.67
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/515/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/524/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/547/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/503/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/508/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/511/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/516/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/513/1997	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/525/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/510/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/531/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/502/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/504/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/NewYork/549/1998	3.70
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/17392/1998	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10660/1998	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10537/1998	6.39
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK41757/1997	6.03
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10756/1998	6.40
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10958/1998	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10960/1998	6.40
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10186/1998	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10216/1998	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK10276/1998	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/17332/1998	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/17230/1998	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/HongKong/CUHK41222/1997	5.42
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/13094/1997	11.23
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/13329/1997	11.23
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Malaysia/13246/1997	11.23
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	A/Taiwan/287/1998	11.23
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20523/1997	7.94
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK41507/1997	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK41459/1997	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK41114/1997	9.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/517/1998	9.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/539/1998	9.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10554/1998	8.06
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10954/1998	8.19
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/520/1998	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/546/1998	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/522/1997	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/548/1998	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/505/1997	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/506/1998	8.24
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/528/1998	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/532/1998	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Auckland/10/1997	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/529/1998	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Sydney/5/1997	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Sydney/5/1997-egg	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/533/1998	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/540/1998	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/527/1998	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Netherlands/300/1997	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/545/1997	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/550/1998	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/535/1998	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/501/1997	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/536/1998	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/538/1998	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20213/1997	8.94
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Taiwan/317/1998	9.14
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/13241/1997	7.57
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Netherlands/5/1998	9.56
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/541/1998	8.56
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/521/1998	7.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/518/1998	7.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20217/1997	8.57
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20199/1997	7.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK22185/1997	7.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK22048/1997	7.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20236/1997	8.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20731/1997	7.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20992/1997	8.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK22013/1997	7.60
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Taiwan/1335/1997	7.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK20320/1997	8.53
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK22736/1997	7.58
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10632/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/523/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/526/1997	9.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/534/1998	10.15
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/507/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/542/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/543/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/519/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/514/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/509/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/544/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/530/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/512/1998	9.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/515/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/524/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/547/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/503/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/508/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/511/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/516/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/513/1997	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/525/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/510/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/531/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/502/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/504/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/NewYork/549/1998	8.16
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/17392/1998	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10660/1998	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10537/1998	6.90
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK41757/1997	7.99
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10756/1998	6.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10958/1998	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10960/1998	6.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10186/1998	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10216/1998	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK10276/1998	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/17332/1998	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/17230/1998	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/HongKong/CUHK41222/1997	5.92
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/13094/1997	11.40
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/13329/1997	11.40
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Malaysia/13246/1997	11.40
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	A/Taiwan/287/1998	11.40
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt	A/HongKong/CUHK20523/1997	10.12
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt	A/HongKong/CUHK41507/1997	12.06
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt	A/HongKong/CUHK41459/1997	12.06
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt	A/HongKong/CUHK41114/1997	13.06
